0.66,-0.20,0.68
0.66,-0.20,0.68
0.66,-0.21,0.67
0.66,-0.18,0.66
0.65,-0.18,0.66
0.66,-0.19,0.68
0.66,-0.19,0.69
0.66,-0.19,0.67
0.66,-0.19,0.68
0.66,-0.20,0.67
0.66,-0.20,0.67
0.66,-0.20,0.67
0.66,-0.18,0.67
0.65,-0.17,0.67
0.66,-0.18,0.68


x,y,z
0.47,-0.17,0.84
0.47,-0.19,0.85
0.47,-0.22,0.86
0.48,-0.22,0.90
0.47,-0.20,0.94
0.47,-0.22,0.95
0.50,-0.20,0.92
0.52,-0.11,0.90
0.49,-0.05,0.91
0.49,0.02,0.93
0.49,0.15,0.96
0.48,0.33,0.95
0.48,0.58,0.89
0.51,0.74,0.95
0.62,0.97,1.04
0.68,1.14,1.00
0.63,1.06,0.85
0.58,0.93,0.73
0.39,0.59,0.65
-0.01,-0.13,0.52
-0.35,-0.88,0.63
-0.56,-1.15,0.67
-0.77,-1.58,0.49
-0.74,-1.84,0.47
-0.71,-1.72,0.47
-0.71,-1.62,0.55
-0.65,-1.47,0.70
-0.75,-1.47,0.52
-0.94,-1.59,0.48
-0.94,-1.25,0.54
-0.90,-1.03,0.60
-1.03,-0.89,0.77
-0.85,-0.12,0.85
-0.48,0.61,1.02
-0.08,0.93,1.43
-0.12,0.82,0.99
0.11,1.01,1.01
0.36,1.25,1.28
0.40,1.12,1.39
0.27,0.89,1.27
0.32,1.01,1.42
0.30,1.03,1.46
0.18,0.95,1.36
0.12,1.01,1.23
0.10,1.21,1.14
0.03,1.19,1.17
-0.00,1.07,1.15
0.01,1.24,0.98
-0.25,0.72,0.76
-0.38,0.22,0.67
-0.61,-0.53,0.53
-1.25,-1.41,0.35
-1.42,-1.64,0.60
-1.26,-1.71,0.73
-0.90,-1.44,0.72
-0.61,-1.10,0.74
-0.37,-0.86,0.77
-0.21,-0.70,0.71
-0.04,-0.43,0.69
-0.07,-0.46,0.79
-0.07,-0.41,0.86
-0.06,-0.37,0.85
-0.05,-0.36,0.89
-0.03,-0.25,0.94
-0.07,-0.31,0.91
-0.06,-0.28,0.88
-0.03,-0.28,0.92
-0.05,-0.27,0.95
-0.06,-0.30,0.98
-0.04,-0.29,0.95
-0.04,-0.28,0.93
-0.05,-0.28,0.95
-0.03,-0.30,0.98
-0.01,-0.31,0.97
-0.04,-0.31,0.92
-0.05,-0.29,0.92
-0.05,-0.30,0.92
-0.06,-0.32,0.89
-0.08,-0.36,0.90
-0.06,-0.32,0.90
-0.05,-0.32,0.91
-0.07,-0.33,0.90
-0.08,-0.34,0.92
-0.06,-0.29,0.94
-0.03,-0.29,0.94
-0.04,-0.30,0.92
-0.06,-0.33,0.92
-0.07,-0.33,0.95
-0.08,-0.35,0.94
-0.08,-0.32,0.94
-0.07,-0.32,0.94
-0.04,-0.31,0.93
-0.05,-0.32,0.92
-0.03,-0.30,0.92
-0.00,-0.27,0.93
-0.01,-0.30,0.94
-0.03,-0.32,0.94
-0.03,-0.30,0.92
-0.05,-0.30,0.93
-0.05,-0.31,0.93
-0.05,-0.31,0.91
-0.05,-0.30,0.95
-0.04,-0.31,0.95
-0.04,-0.30,0.93
-0.02,-0.29,0.92
-0.03,-0.31,0.93
-0.04,-0.31,0.91
-0.03,-0.32,0.91
0.00,-0.28,0.89
-0.01,-0.31,0.90
-0.01,-0.30,0.91
-0.01,-0.31,0.92
-0.02,-0.31,0.92
-0.02,-0.31,0.92
-0.00,-0.29,0.90
-0.00,-0.32,0.92
-0.02,-0.31,0.93
-0.01,-0.30,0.97
-0.04,-0.35,0.95
-0.04,-0.33,0.92
-0.02,-0.30,0.92
-0.02,-0.32,0.94
-0.03,-0.34,0.93
-0.03,-0.34,0.97
-0.03,-0.36,0.98
0.00,-0.39,1.00
-0.03,-0.43,1.05
-0.01,-0.41,1.05
-0.02,-0.48,1.04
-0.04,-0.56,1.13
-0.03,-0.51,1.11
0.09,-0.40,1.06
0.17,-0.38,1.04
0.19,-0.37,1.01
0.21,-0.35,0.94
0.22,-0.37,0.85
0.25,-0.33,0.80
0.25,-0.28,0.74
0.24,-0.31,0.76
0.38,-0.04,0.88
0.34,-0.15,0.90
0.28,-0.20,0.81
0.22,-0.24,0.70
0.35,0.15,0.75
0.37,0.15,0.76
0.24,-0.13,0.79
0.15,-0.27,0.76
0.23,0.04,0.81
0.27,0.12,0.80
0.25,-0.05,0.92


x,y,z
0.53,0.22,0.83
0.51,0.17,0.86
0.53,0.15,0.85
0.55,0.17,0.80
0.51,0.12,0.80
0.49,0.12,0.81
0.52,0.18,0.79
0.54,0.22,0.78
0.54,0.24,0.76
0.52,0.25,0.78
0.54,0.24,0.75
0.55,0.20,0.76
0.53,0.18,0.77
0.51,0.18,0.80
0.56,0.24,0.77
0.57,0.23,0.76
0.54,0.17,0.77
0.50,0.09,0.81
0.51,0.11,0.82
0.53,0.15,0.79
0.51,0.13,0.78
0.49,0.12,0.79
0.57,0.21,0.74
0.59,0.30,0.71
0.54,0.28,0.72
0.52,0.37,0.81
0.58,0.64,0.84
0.55,0.78,0.82
0.58,0.99,0.74
0.77,1.51,0.66
0.84,1.59,0.54
0.77,1.48,0.62
0.55,1.31,0.76
0.32,0.91,0.69
0.20,0.69,0.67
-0.52,-0.18,0.50
-0.99,-1.26,0.45
-1.16,-2.15,0.33
-1.08,-2.34,0.32
-0.77,-1.94,0.38
-0.46,-1.47,0.46
-0.45,-1.25,0.46
-0.67,-1.43,0.52
-0.94,-1.74,0.59
-1.06,-1.48,0.39
-1.12,-1.17,0.45
-1.12,-1.08,0.74
-0.96,-0.43,0.92
-0.74,0.22,0.97
0.04,1.24,1.26
0.18,1.02,1.59
0.41,1.10,1.43
0.74,1.50,1.64
0.94,1.70,1.63
0.62,1.06,1.33
0.52,0.95,1.10
0.58,1.13,1.02
0.56,1.26,0.98
0.36,1.01,0.99
0.33,1.04,1.04
0.36,1.45,1.06
0.23,1.41,0.74
0.12,1.16,0.61
-0.06,1.08,0.50
-0.49,0.16,0.76
-0.66,-0.58,0.76
-1.28,-1.35,0.71
-1.73,-1.98,0.59
-1.11,-1.44,0.89
-0.71,-1.16,1.01
-0.67,-1.14,1.00
-0.50,-0.89,0.89
-0.19,-0.48,0.95
-0.03,-0.35,1.00
0.03,-0.23,0.92
-0.01,-0.22,0.83
-0.00,-0.26,0.98
0.00,-0.22,0.96
-0.03,-0.20,0.96
-0.05,-0.16,0.89
-0.06,-0.18,0.96
-0.05,-0.17,0.97
-0.05,-0.16,0.96
-0.06,-0.21,0.99
0.00,-0.11,0.98
0.00,-0.16,1.00
-0.00,-0.16,0.98
-0.03,-0.21,0.96
-0.05,-0.20,0.95
-0.04,-0.18,0.95
-0.03,-0.20,0.93
-0.02,-0.21,0.95
-0.03,-0.22,0.97
-0.03,-0.20,0.97
-0.01,-0.22,0.96
-0.02,-0.23,0.96
-0.02,-0.23,0.95
-0.00,-0.18,0.93
-0.01,-0.19,0.92
-0.00,-0.21,0.93
-0.00,-0.21,0.93
0.01,-0.19,0.93
0.00,-0.20,0.93
-0.02,-0.20,0.95
-0.03,-0.24,0.96
-0.01,-0.24,0.99
0.00,-0.18,0.96
0.00,-0.20,0.95
-0.01,-0.26,0.97
0.02,-0.19,0.95
0.01,-0.21,1.00
0.02,-0.21,1.00
0.01,-0.25,0.93
0.08,-0.18,0.89
0.08,-0.20,0.94
0.06,-0.22,0.94
0.04,-0.28,0.95
0.09,-0.21,0.95
0.14,-0.13,0.94
0.13,-0.21,0.96
